city,lng,lat
贵州省-毕节市,105.3333234,27.40856213
贵州省-贵阳市,106.7091771,26.62990674
贵州省-遵义市,106.9312603,27.69996138
贵州省-铜仁市,109.168558,27.67490269
贵州省-黔东南苗族侗族自治州,107.9853526,26.58399177
贵州省-黔南布依族苗族自治州,107.5232051,26.264536
贵州省-黔西南布依族苗族自治州,104.9005578,25.09514806
辽宁省-丹东市,124.3385431,40.12902283
辽宁省-大连市,121.5934778,38.94870994
辽宁省-抚顺市,123.9298198,41.87730383
辽宁省-朝阳市,120.4461627,41.57182767
辽宁省-本溪市,123.7780624,41.32583763
辽宁省-沈阳市,123.4327909,41.80864478
辽宁省-盘锦市,122.0732278,41.14124802
辽宁省-营口市,122.2333914,40.66865107
辽宁省-葫芦岛市,120.8607576,40.74302988
辽宁省-辽阳市,123.1724512,41.27333927
辽宁省-铁岭市,123.8548496,42.29975701
辽宁省-锦州市,121.1477487,41.13087888
辽宁省-阜新市,121.6608221,42.01925011
辽宁省-鞍山市,123.0077633,41.11874368
重庆-重庆市,106.530635,29.54460611
陕西省-咸阳市,108.7075093,34.345373
陕西省-商洛市,109.9342082,33.8739074
陕西省-安康市,109.0380446,32.70437045
陕西省-宝鸡市,107.1706455,34.36408081
陕西省-延安市,109.5005098,36.60332035
陕西省-榆林市,109.7459257,38.27943924
陕西省-汉中市,107.0454776,33.08156898
陕西省-渭南市,109.4839327,34.50235798
陕西省-西安市,108.9530983,34.2777999
陕西省-铜川市,108.968067,34.9083677
青海省-果洛藏族自治州,100.2237228,34.48048458
青海省-海东地区,102.085207,36.51761017
青海省-海北藏族自治州,100.8798022,36.9606541
青海省-海南藏族自治州,100.6240661,36.2843638
青海省-海西蒙古族藏族自治州,97.34262542,37.37379907
青海省-玉树藏族自治州,97.01331614,33.00623991
青海省-西宁市,101.767921,36.64073861
青海省-黄南藏族自治州,102.0076003,35.52285155
香港特别行政区-九龙,114.173292,22.30724586
香港特别行政区-新界,114.146702,22.42743128
香港特别行政区-香港岛,114.1838705,22.27210343
黑龙江省-七台河市,131.019048,45.77500537
黑龙江省-伊春市,128.910766,47.73468508
黑龙江省-佳木斯市,130.2847346,46.8137796
黑龙江省-双鸭山市,131.1714017,46.65510206
黑龙江省-哈尔滨市,126.6577169,45.77322463
黑龙江省-大兴安岭地区,124.1961042,51.99178897
黑龙江省-大庆市,125.0218397,46.59670902
黑龙江省-牡丹江市,129.6080354,44.58852115
黑龙江省-绥化市,126.9890946,46.64606393
黑龙江省-鸡西市,130.9417673,45.32153989
黑龙江省-鹤岗市,130.2924721,47.3386659
黑龙江省-黑河市,127.5008303,50.25069009
黑龙江省-齐齐哈尔市,123.9872889,47.34769981
